first_name,last_name,gender,shirt_size,sales_jan,sales_feb
Claybourne,Dimbleby,Male,M,$768.41,$147.76
Alane,Conkie,Female,L,$789.06,$584.55
Bobby,McVie,Female,XL,$331.24,$641.28
Marys,Leale,Female,M,$489.50,$677.01
Nichole,Aylward,Male,XL,$293.68,$440.04
Kennett,Biasio,Male,XS,$772.92,$335.77
Rebecca,Clemensen,Genderfluid,L,$756.45,$286.70
Lanette,Brosch,Female,M,$4.38,$125.77
Gardener,Monkman,Male,XL,$253.13,$216.18
Dina,Adrain,Female,3XL,$529.17,$162.02
Kristel,Mauditt,Female,L,$647.88,$275.74
Joel,De Maine,Male,L,$677.46,$740.72
Gianina,Dilleston,Female,S,$116.58,$619.99
Lari,Fenne,Female,L,$867.44,$999.67
Jessamine,Shuker,Female,M,$832.47,$820.11
Daune,Duetschens,Female,3XL,$105.02,$43.26
Robbert,Waywell,Bigender,XS,$697.37,$530.18
Hope,Kesterton,Bigender,M,$326.93,$270.92
Reinwald,Fost,Male,M,$831.29,$288.20
Jerrilee,Munden,Female,XL,$922.73,$523.12
Nicholas,Setchfield,Male,S,$66.42,$784.61
Valida,Denisovich,Female,L,$509.65,$756.29
Doe,Bellin,Genderqueer,S,$617.67,$595.07
Patrizia,Rollo,Female,XS,$617.80,$409.45
Paul,MacCaughen,Male,XS,$714.25,$369.91
Barbra,Kenningham,Female,L,$248.49,$383.62
Normie,Bapty,Male,XL,$146.36,$792.49
Alyson,Coole,Female,XS,$518.63,$894.16
Torrence,Alstead,Male,2XL,$279.90,$424.59
Mabel,Sisnett,Female,L,$474.97,$215.38
Kass,Lavigne,Female,XL,$633.32,$345.60
Janis,Cicculi,Female,XL,$10.55,$679.21
Charmion,Hancock,Female,XS,$149.04,$867.49
Evelina,Bircher,Bigender,M,$624.29,$6.01
Isac,Kelbie,Male,2XL,$482.97,$370.11
Turner,Bartolommeo,Male,M,$909.56,$144.99
Esmaria,Rucklidge,Female,3XL,$94.55,$369.12
Chadd,Haylock,Male,XL,$10.02,$368.38
Zabrina,Yve,Female,L,$377.94,$410.79
Chico,Jizhaki,Male,S,$954.71,$600.32
Kirbee,Wheeler,Female,L,$238.92,$30.05
Bevan,Dunstan,Male,XS,$762.03,$55.85
Matteo,Rudolph,Genderqueer,3XL,$8.81,$249.31
Hy,Darthe,Male,XS,$166.10,$229.71
Tatiana,Grimsdell,Female,XS,$246.21,$3.67
Trstram,Clappison,Polygender,XS,$687.25,$653.58
Natalya,Gioan,Female,S,$388.17,$787.79
Davidson,McMillan,Polygender,S,$634.56,$555.08
Ben,Ferrini,Male,XL,$777.88,$983.42
Hilda,Haily,Female,L,$89.66,$442.12
Gale,Beecraft,Female,S,$154.86,$598.58
Minetta,Geal,Female,XS,$202.09,$164.50
Arman,Dosdale,Genderqueer,2XL,$777.50,$2.84
Aleda,Bonin,Genderqueer,XL,$559.37,$65.72
Clement,McPeeters,Male,M,$497.91,$31.20
Tabbie,Bransby,Male,XS,$800.72,$762.68
Loise,Babbage,Female,XS,$954.10,$780.63
Nike,Demougeot,Agender,L,$152.92,$448.30
Penrod,Duthie,Male,2XL,$832.30,$128.47
Chrissie,Mimmack,Female,XL,$179.94,$826.80
Pieter,Daton,Male,M,$202.24,$763.78
Caesar,Rittmeyer,Male,2XL,$440.36,$410.33
Donnell,Djokovic,Male,2XL,$744.80,$856.47
Reina,Matveiko,Female,XL,$849.51,$977.14
Perrine,Baudinelli,Female,XL,$328.44,$25.19
Newton,Brantl,Genderfluid,XS,$480.79,$539.37
Issi,Baume,Female,XL,$623.76,$887.02
Milicent,Rebbeck,Female,3XL,$613.30,$612.34
Guglielmo,Gullivan,Male,L,$71.61,$691.22
Karrie,Sclater,Female,L,$225.62,$334.55
Leland,Kerkham,Female,3XL,$453.46,$272.64
Leisha,Skate,Female,M,$29.08,$536.23
Hyacinth,Bengefield,Female,L,$879.05,$190.98
Abigail,Pashenkov,Female,XL,$782.43,$693.14
Osgood,Eye,Male,S,$128.21,$850.96
Nicolas,Abbys,Male,L,$632.35,$450.16
Reade,Bradburne,Male,M,$430.09,$944.47
Eadith,Hewkin,Female,3XL,$960.50,$244.60
Brenda,Purple,Female,L,$60.16,$836.45
Cordi,Corkitt,Female,XL,$950.81,$400.38
Tawnya,Chesworth,Female,L,$320.92,$431.21
Illa,Iacobo,Female,S,$509.07,$903.11
Gregor,Nuttall,Male,XL,$437.43,$192.67
Theresita,Dyche,Female,M,$38.87,$601.42
Martainn,Anselm,Male,L,$738.16,$852.55
Reynold,Harker,Male,XS,$745.18,$563.04
Jeff,Springthorp,Male,XS,$860.45,$609.69
Cathe,Catonnet,Female,L,$143.52,$216.48
Bentlee,Snalom,Male,L,$87.87,$295.10
Gayle,Lauderdale,Male,2XL,$257.12,$67.37
Allin,Kunisch,Male,XL,$803.51,$432.80
Gallard,Angliss,Male,S,$412.76,$58.60
Maude,Faucett,Female,L,$395.70,$30.49
Ulric,Devereux,Male,3XL,$339.28,$711.63
Eve,Orrett,Female,2XL,$967.54,$542.42
Emmie,Townsend,Female,XS,$172.58,$408.68
Tucker,MacGuigan,Male,3XL,$989.64,$749.10
Donielle,Treleaven,Female,2XL,$376.20,$345.86
Rock,Bambrugh,Male,S,$68.85,$639.38
Mathilde,Lambertazzi,Female,S,$850.95,$903.91
Marsha,McElane,Female,XS,$195.78,$77.53
Rhiamon,Crowd,Genderfluid,L,$324.27,$525.77
Tomasina,Ivers,Female,S,$528.62,$606.27
Kerby,Joyce,Male,L,$111.36,$911.84
Del,Corse,Male,M,$255.92,$795.71
Clerkclaude,Doorly,Male,2XL,$830.53,$765.15
Filberte,Lambdean,Male,XS,$109.51,$581.50
Marcel,Roggers,Male,3XL,$721.94,$385.87
Georgia,Gilpillan,Female,L,$133.22,$810.60
Gaylord,Begg,Male,2XL,$22.23,$106.09
Myrlene,Oxby,Polygender,2XL,$936.24,$567.77
Cindelyn,Simic,Female,L,$769.01,$315.49
Aloysius,Kobpal,Male,2XL,$237.43,$89.01
Gracie,Eastcott,Female,S,$477.76,$527.27
Guillema,Carnson,Female,M,$378.15,$794.14
Isobel,Barette,Female,2XL,$125.32,$141.80
Dianemarie,Schubuser,Female,XS,$711.38,$923.55
Betsy,Hawton,Female,3XL,$712.07,$412.60
Matelda,Donnel,Female,M,$825.06,$319.98
Hermione,Giovannazzi,Female,M,$774.23,$948.21
Lucy,Bartozzi,Female,2XL,$413.08,$794.26
Babara,Daybell,Female,2XL,$764.30,$963.73
Natale,Regelous,Male,2XL,$708.26,$32.10
Catherina,Dorton,Polygender,3XL,$679.42,$432.88
Alidia,Oxburgh,Female,M,$713.66,$149.21
Aloin,Pepi,Male,L,$179.61,$333.99
Kalinda,Ketcher,Female,3XL,$236.10,$325.08
Padraig,Grinyer,Male,XL,$63.86,$891.68
Timmy,Matton,Male,2XL,$423.60,$327.92
Palm,Paridge,Male,XS,$236.34,$151.60
Keenan,Leagas,Male,M,$885.29,$46.17
Junie,Riepel,Female,XL,$634.19,$632.92
Ingunna,Banaszczyk,Female,2XL,$830.62,$43.01
Cristiano,Greep,Male,XS,$124.30,$383.80
Ford,Dignan,Male,XL,$598.83,$175.55
Barbara-anne,Speir,Female,XL,$986.66,$56.91
Dalli,Cragoe,Male,M,$413.42,$963.87
Brenna,Allsepp,Female,M,$510.42,$995.04
Orel,Moiser,Female,M,$447.69,$13.78
North,Orme,Male,3XL,$942.01,$67.65
Celestina,Lordon,Female,XL,$177.13,$415.71
Darby,Fillgate,Male,XL,$97.39,$432.96
Gwen,Batchley,Female,XL,$558.10,$777.59
Bronny,Erricker,Male,XS,$913.59,$758.42
Vernor,Deble,Male,L,$269.30,$573.68
Elissa,Look,Female,L,$855.70,$634.86
Guenna,Vossing,Female,XS,$409.12,$162.01
Susi,Hembery,Female,L,$923.50,$820.13
Perice,Hrachovec,Male,2XL,$644.19,$24.63
Erinn,Shingles,Female,2XL,$256.52,$594.85
Bernice,Lohde,Female,2XL,$693.49,$526.95
Lyndel,Gammage,Female,2XL,$169.72,$606.08
Katrine,Costall,Female,M,$593.19,$636.33
Thorny,Lars,Male,M,$846.36,$357.21
Rebecka,Shepley,Female,XL,$833.51,$698.18
Sheilah,Canning,Female,2XL,$947.86,$472.98
Matthias,Whitlaw,Male,S,$794.25,$301.01
Tony,Stother,Female,XS,$704.48,$504.80
Kandy,Lyptrit,Female,M,$128.30,$303.17
Claybourne,Joost,Male,L,$846.78,$434.75
Ara,Paull,Genderqueer,XS,$3.17,$453.12
Benoit,Kaye,Male,L,$334.75,$701.46
Elvyn,Sprasen,Male,L,$17.56,$151.27
Marleah,Penwright,Agender,3XL,$451.52,$949.42
Cheryl,Laverick,Female,3XL,$72.93,$726.39
Skippy,Sancias,Male,S,$651.27,$304.81
Joellyn,Caldow,Female,2XL,$520.10,$339.05
Geralda,Struthers,Female,3XL,$711.58,$895.74
Dara,Rodson,Female,3XL,$708.64,$749.34
Garland,Yoakley,Female,L,$183.09,$428.95
Eddie,Buxsey,Male,XL,$111.37,$680.55
Annissa,Plumley,Female,XS,$550.48,$507.36
Obie,Lewtey,Male,XS,$764.32,$124.74
Gwendolin,Lafranconi,Female,XL,$817.69,$104.89
Worden,Gascard,Male,S,$245.77,$792.57
Penni,Lynnett,Female,2XL,$784.34,$216.46
Margarethe,Altoft,Female,2XL,$755.36,$845.09
Bobbie,Haggata,Female,M,$634.16,$89.62
Ulrika,Athridge,Female,3XL,$943.32,$212.83
Bill,Etoile,Agender,L,$185.85,$322.91
Sadie,Butting,Female,L,$650.75,$979.64
Breena,Forder,Female,S,$632.40,$500.49
Kathlin,Letrange,Female,XL,$858.91,$347.55
Esmeralda,Faill,Female,M,$995.91,$238.59
Zsazsa,Gurg,Female,XS,$80.18,$765.14
Steve,Tee,Male,XS,$422.07,$117.57
Octavius,Langdridge,Male,L,$590.97,$967.97
Hershel,MacRanald,Male,2XL,$282.05,$0.36
Olenolin,Crambie,Male,M,$573.15,$997.77
Renard,Evens,Male,XL,$900.42,$997.26
Janeva,Please,Female,S,$18.01,$136.86
Penny,Sterndale,Male,2XL,$548.13,$83.85
Amory,William,Male,XL,$362.48,$773.32
Timmie,Adkins,Female,L,$497.16,$497.44
Robena,Davydzenko,Agender,2XL,$766.77,$911.58
Patsy,Coleborn,Female,S,$128.31,$731.62
Pepillo,Wassung,Male,M,$52.84,$25.81
Tyne,Fee,Female,3XL,$434.46,$738.65
Mike,Jardin,Polygender,S,$477.25,$518.74
Celesta,Haliday,Female,XS,$567.19,$217.24
